College Name,Fees,Average Package,Highest Package,Rating,Ranking,Main Link,Reviews Link
"CMR Institute of Technology - [CMRIT], Bangalore","₹ 3,01,000","₹ 6,99,000","₹ 44,10,000",4 / 5,#321 th / 500 in India 2025,https://collegedunia.com/college/13134-cmr-institute-of-technology-cmrit-bangalore,https://collegedunia.com/college/13134-cmr-institute-of-technology-cmrit-bangalore/reviews
"DY Patil International University - [DYPIU], Pune","₹ 2,40,000","₹ 7,00,000","₹ 33,00,000",4.1 / 5,#322 th / 500 in India 2025,https://collegedunia.com/university/59725-dy-patil-international-university-dypiu-pune,https://collegedunia.com/university/59725-dy-patil-international-university-dypiu-pune/reviews
"Puducherry Technological University, Pondicherry","₹ 90,401","₹ 4,00,000","₹ 10,00,000",3.8 / 5,#323 th / 500 in India 2025,https://collegedunia.com/college/55114-puducherry-technological-university-pondicherry,https://collegedunia.com/college/55114-puducherry-technological-university-pondicherry/reviews
"International Institute of Information Technology - [I²IT], Pune","₹ 1,34,746","₹ 9,50,000",N/A,3.8 / 5,#324 th / 500 in India 2025,https://collegedunia.com/college/28422-international-institute-of-information-technology-iit-pune,https://collegedunia.com/college/28422-international-institute-of-information-technology-iit-pune/reviews
"Government Sri Krishnarajendra Silver Jubilee Technological Institute, Bangalore","₹ 1,04,265",N/A,N/A,3.6 / 5,#325 th / 500 in India 2025,https://collegedunia.com/college/13620-government-sri-krishnarajendra-silver-jubilee-technological-institute-bangalore,https://collegedunia.com/college/13620-government-sri-krishnarajendra-silver-jubilee-technological-institute-bangalore/reviews
"REVA University, Bangalore","₹ 1,27,000","₹ 40,00,000",N/A,4.2 / 5,#326 th / 500 in India 2025,https://collegedunia.com/university/54859-reva-university-bangalore,https://collegedunia.com/university/54859-reva-university-bangalore/reviews
"G L Bajaj Institute of Technology and Management, Greater Noida","₹ 1,05,450","₹ 7,35,000","₹ 58,00,000",3.9 / 5,#327 th / 500 in India 2025,https://collegedunia.com/college/13536-g-l-bajaj-institute-of-technology-and-management-greater-noida,https://collegedunia.com/college/13536-g-l-bajaj-institute-of-technology-and-management-greater-noida/reviews
"Government College of Engineering - [GCOEA], Amravati","₹ 85,268","₹ 5,65,000","₹ 26,50,000",3.7 / 5,#328 th / 500 in India 2025,https://collegedunia.com/college/13597-government-college-of-engineering-gcoea-amravati,https://collegedunia.com/college/13597-government-college-of-engineering-gcoea-amravati/reviews
"Acharya Institute of Technology - [AIT], Bangalore","₹ 3,01,100","₹ 6,00,000","₹ 65,00,000",4.1 / 5,#329 th / 500 in India 2025,https://collegedunia.com/college/12715-acharya-institute-of-technology-ait-bangalore,https://collegedunia.com/college/12715-acharya-institute-of-technology-ait-bangalore/reviews
"Government College of Engineering - [GCEK], Satara","₹ 85,482","₹ 5,61,000","₹ 18,00,000",3.9 / 5,#330 th / 500 in India 2025,https://collegedunia.com/college/13585-government-college-of-engineering-gcek-satara,https://collegedunia.com/college/13585-government-college-of-engineering-gcek-satara/reviews
"Malnad College of Engineering - [MCE], Hassan","₹ 1,21,610","₹ 12,50,000",N/A,4 / 5,#331 th / 500 in India 2025,https://collegedunia.com/college/14247-malnad-college-of-engineering-mce-hassan,https://collegedunia.com/college/14247-malnad-college-of-engineering-mce-hassan/reviews
"Sahyadri College of Engineering & Management (SCEM), Mangalore","₹ 3,01,100","₹ 4,00,000","₹ 40,00,000",4.1 / 5,#332 th / 500 in India 2025,https://collegedunia.com/college/14894-sahyadri-college-of-engineering-and-management-scem-mangalore,https://collegedunia.com/college/14894-sahyadri-college-of-engineering-and-management-scem-mangalore/reviews
"Institute of Engineering & Technology - GLA University, Mathura","₹ 2,03,000","₹ 55,00,000",N/A,4.1 / 5,#333 th / 500 in India 2025,https://collegedunia.com/college/13505-institute-of-engineering-and-technology-gla-university-mathura,https://collegedunia.com/college/13505-institute-of-engineering-and-technology-gla-university-mathura/reviews
"Pimpri Chinchwad College of Engineering and Research - [PCCOER] Ravet, Pune","₹ 5,72,000","₹ 5,34,000","₹ 19,50,000",3.9 / 5,#334 th / 500 in India 2025,https://collegedunia.com/college/58794-pimpri-chinchwad-college-of-engineering-and-research-pccoer-ravet-pune,https://collegedunia.com/college/58794-pimpri-chinchwad-college-of-engineering-and-research-pccoer-ravet-pune/reviews
"BGS & SJB Group of Institutions, Bangalore","₹ 3,01,100","₹ 5,52,000","₹ 27,00,000",3.6 / 5,#335 th / 500 in India 2025,https://collegedunia.com/college/15217-bgs-and-sjb-group-of-institutions-bangalore,https://collegedunia.com/college/15217-bgs-and-sjb-group-of-institutions-bangalore/reviews
"Woxsen University, Hyderabad","₹ 4,25,000","₹ 9,90,000","₹ 24,00,000",4.2 / 5,#336 th / 500 in India 2025,https://collegedunia.com/university/60661-woxsen-university-hyderabad,https://collegedunia.com/university/60661-woxsen-university-hyderabad/reviews
"Sri Siddhartha Institute of Technology - [SSIT], Tumkur","₹ 1,20,000","₹ 12,00,000",N/A,4 / 5,#337 th / 500 in India 2025,https://collegedunia.com/university/15267-sri-siddhartha-institute-of-technology-ssit-tumkur,https://collegedunia.com/university/15267-sri-siddhartha-institute-of-technology-ssit-tumkur/reviews
"Vidyalankar Institute of Technology - [VIT], Mumbai","₹ 7,04,000","₹ 12,96,000","₹ 37,50,000",4.2 / 5,#338 th / 500 in India 2025,https://collegedunia.com/college/45849-vidyalankar-institute-of-technology-vit-mumbai,https://collegedunia.com/college/45849-vidyalankar-institute-of-technology-vit-mumbai/reviews
"KLE Dr. M.S.Sheshgiri College of Engineering & Technology, Belgaum","₹ 2,64,372","₹ 34,00,000",N/A,3.9 / 5,#339 th / 500 in India 2025,https://collegedunia.com/college/28567-kle-dr-mssheshgiri-college-of-engineering-and-technology-belgaum,https://collegedunia.com/college/28567-kle-dr-mssheshgiri-college-of-engineering-and-technology-belgaum/reviews
"University of Lucknow - [LU], Lucknow","₹ 1,26,210","₹ 8,25,000","₹ 26,00,000",3.7 / 5,#340 th / 500 in India 2025,https://collegedunia.com/university/25978-university-of-lucknow-lu-lucknow,https://collegedunia.com/university/25978-university-of-lucknow-lu-lucknow/reviews
"JSPM'S Rajarshi Shahu College of Engineering - [RSCOE] Tathawade, Pune","₹ 1,34,000","₹ 30,00,000",N/A,3.9 / 5,#341 th / 500 in India 2025,https://collegedunia.com/college/14714-jspms-rajarshi-shahu-college-of-engineering-rscoe-tathawade-pune,https://collegedunia.com/college/14714-jspms-rajarshi-shahu-college-of-engineering-rscoe-tathawade-pune/reviews
"Dayananda Sagar Academy of Technology and Management - [DSATM], Bangalore","₹ 3,28,210","₹ 5,36,000","₹ 25,11,000",4 / 5,#342 th / 500 in India 2025,https://collegedunia.com/college/13315-dayananda-sagar-academy-of-technology-and-management-dsatm-bangalore,https://collegedunia.com/college/13315-dayananda-sagar-academy-of-technology-and-management-dsatm-bangalore/reviews
"PES College of Engineering - [PESCE], Mandya","₹ 1,20,000","₹ 5,30,000","₹ 14,50,000",3.9 / 5,#343 th / 500 in India 2025,https://collegedunia.com/college/14554-pes-college-of-engineering-pesce-mandya,https://collegedunia.com/college/14554-pes-college-of-engineering-pesce-mandya/reviews
"Bharati Vidyapeeth's College  of Engineering - [BVCOE] Lavale, Pune","₹ 1,17,000","₹ 19,00,000",N/A,3.6 / 5,#344 th / 500 in India 2025,https://collegedunia.com/college/28444-bharati-vidyapeeths-college-of-engineering-bvcoe-lavale-pune,https://collegedunia.com/college/28444-bharati-vidyapeeths-college-of-engineering-bvcoe-lavale-pune/reviews
"Government Engineering College - [GEC], Raipur","₹ 20,695",N/A,N/A,3.1 / 5,#345 th / 500 in India 2025,https://collegedunia.com/college/45663-government-engineering-college-gec-raipur,https://collegedunia.com/college/45663-government-engineering-college-gec-raipur/reviews
"St Joseph Engineering College - [SJEC], Mangalore","₹ 2,44,110","₹ 27,50,000",N/A,4 / 5,#346 th / 500 in India 2025,https://collegedunia.com/college/15312-st-joseph-engineering-college-sjec-mangalore,https://collegedunia.com/college/15312-st-joseph-engineering-college-sjec-mangalore/reviews
"Global Academy of Technology - [GAT], Bangalore","₹ 2,20,000","₹ 5,17,000","₹ 22,00,000",3.9 / 5,#347 th / 500 in India 2025,https://collegedunia.com/college/13557-global-academy-of-technology-gat-bangalore,https://collegedunia.com/college/13557-global-academy-of-technology-gat-bangalore/reviews
"Sanskriti University - [SU], Mathura","₹ 1,70,000","₹ 6,50,000","₹ 54,00,000",3.8 / 5,#348 th / 500 in India 2025,https://collegedunia.com/university/57227-sanskriti-university-su-mathura,https://collegedunia.com/university/57227-sanskriti-university-su-mathura/reviews
"MIT Academy of Engineering - [MITAOE], Pune","₹ 1,91,737","₹ 6,10,000","₹ 28,00,000",3.8 / 5,#349 th / 500 in India 2025,https://collegedunia.com/college/28795-mit-academy-of-engineering-mitaoe-pune,https://collegedunia.com/college/28795-mit-academy-of-engineering-mitaoe-pune/reviews
"MVJ College of Engineering - [MVJCE], Bangalore","₹ 81,800","₹ 27,70,000",N/A,3.8 / 5,#350 th / 500 in India 2025,https://collegedunia.com/college/14164-mvj-college-of-engineering-mvjce-bangalore,https://collegedunia.com/college/14164-mvj-college-of-engineering-mvjce-bangalore/reviews
"Dr. D. Y. Patil Institute of Engineering, Management & Research - [DYPIEMR] Akurdi, Pune","₹ 1,03,292","₹ 45,00,000",N/A,3.8 / 5,#351 th / 500 in India 2025,https://collegedunia.com/college/28735-dr-d-y-patil-institute-of-engineering-management-and-research-dypiemr-akurdi-pune,https://collegedunia.com/college/28735-dr-d-y-patil-institute-of-engineering-management-and-research-dypiemr-akurdi-pune/reviews
"GSSS Institute of Engineering and Technology for Women - [GSSSIETW], Mysore","₹ 2,25,000","₹ 6,80,000","₹ 34,00,000",4.3 / 5,#352 th / 500 in India 2025,https://collegedunia.com/college/13516-gsss-institute-of-engineering-and-technology-for-women-gsssietw-mysore,https://collegedunia.com/college/13516-gsss-institute-of-engineering-and-technology-for-women-gsssietw-mysore/reviews
"University BDT College of Engineering, Visvesvaraya Technological University - [UBDTCE], Davanagere","₹ 1,18,105",N/A,N/A,3.5 / 5,#353 th / 500 in India 2025,https://collegedunia.com/college/28248-university-bdt-college-of-engineering-visvesvaraya-technological-university-ubdtce-davanagere,https://collegedunia.com/college/28248-university-bdt-college-of-engineering-visvesvaraya-technological-university-ubdtce-davanagere/reviews
"Rajkiya Engineering College [REC], Banda","₹ 61,800","₹ 10,00,000",N/A,3.9 / 5,#354 th / 500 in India 2025,https://collegedunia.com/college/58558-rajkiya-engineering-college-rec-banda,https://collegedunia.com/college/58558-rajkiya-engineering-college-rec-banda/reviews
