college_id,college_name,collegedunia_college_name
95,Amity University Noida,"Amity University, Noida",
96,Kalinga Institute of Industrial Technology Bhubaneswar,"Kalinga Institute of Industrial Technology - [KIIT], Bhubaneswar",
97,Lovely Professional University Phagwara,"Lovely Professional University - [LPU], Jalandhar",
98,Narsee Monjee Institute of Management Studies Mumbai,"Narsee Monjee Institute of Management Studies - [NMIMS Deemed to be University], Mumbai",
99,Christ University Bangalore,"Christ University Bangalore (Kengeri Campus), Bangalore",
100,Symbiosis Institute of Technology Pune,"Symbiosis Institute of Technology - [SIT], Pune",
101,College of Engineering Pune,"College of Engineering - [COEP], Pune",
102,Veermata Jijabai Technological Institute Mumbai,"Veermata Jijabai Technological Institute - [VJTI], Mumbai",
103,Jadavpur University Kolkata,"Jadavpur University - [JU], Kolkata",
104,Anna University Chennai,"Anna University - [AU], Chennai",
105,Delhi Technological University Delhi,"Delhi Technological University - [DTU], New Delhi",
106,Netaji Subhas University of Technology New Delhi,"Netaji Subhas University of Technology - [NSUT], New Delhi",
107,Punjab Engineering College Chandigarh,"Punjab Engineering College University of Technology - [PEC], Chandigarh",
108,Indian Institute of Science Bangalore,"Indian Institute of Science - [IISc], Bangalore",
109,Institute of Technology Nirma University Ahmedabad,"Institute of Technology, Nirma University, Ahmedabad",
110,Dhirubhai Ambani Institute of Information and Communication Technology Gandhinagar,"Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT], Gandhinagar",
111,Institute of Chemical Technology Mumbai,"Institute of Chemical Technology - [ICT], Mumbai",
112,BMS College of Engineering Bangalore,"BMS College of Engineering - [BMSCE], Bangalore",
113,Ramaiah Institute of Technology Bangalore,"Ramaiah Institute of Technology - [RIT], Bangalore",
114,PES University Bangalore,"PES University - [PESU], Bangalore",
115,RV College of Engineering Bangalore,"R V College of Engineering - [RVCE], Bangalore",
116,Maharashtra Institute of Technology Pune,"MIT World Peace University - [MIT-WPU], Pune",
117,Institute of Engineering and Management Kolkata,"Institute of Engineering and Management - [IEM], Kolkata",
118,Heritage Institute of Technology Kolkata,"Heritage Institute of Technology - [HIT], Kolkata",
119,Galgotias University Greater Noida,"Galgotias University - [GU], Greater Noida",
120,Jaypee Institute of Information Technology Noida,"Jaypee Institute of Information Technology University - [JIIT], Noida",
121,Indian Institute of Engineering Science and Technology Shibpur,"Indian Institute of Engineering Science and Technology - [IIEST] Shibpur, Howrah",
149,SRM Institute of Science and Technology NCR Campus Ghaziabad,"SRMIST Delhi NCR Campus, Ghaziabad",
123,Ajay Kumar Garg Engineering College Ghaziabad,"Ajay Kumar Garg Engineering College - [AKGEC], Ghaziabad",
124,Yeshwantrao Chavan College of Engineering Nagpur,"Yeshwantrao Chavan College of Engineering - [YCCE], Nagpur",
125,Nitte Meenakshi Institute of Technology Bangalore,"Nitte Meenakshi Institute of Technology - [NMIT] (Deemed to be University), Bangalore",
126,RNS Institute of Technology Bangalore,"RNS Institute of Technology - [RNSIT], Bangalore",
127,Sastra Deemed University Thanjavur,"SASTRA University, Thanjavur",
128,PSG College of Technology Coimbatore,"P.S.G College of Technology - [PSGCT], Coimbatore",
129,Thiagarajar College of Engineering Madurai,"Thiagarajar College of Engineering - [TCE], Madurai",
130,Vel Tech Rangarajan Dr Sagunthala R and D Institute of Science and Technology Chennai,"Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech], Chennai",
131,Saveetha Engineering College Chennai,"Saveetha Engineering College - [SEC], Chennai",
132,KLE Technological University Hubli,"KLE Technological University, Hubli",
133,Dayananda Sagar College of Engineering Bangalore,"Dayananda Sagar College of Engineering - [DSCE], Bangalore",
134,Nitte Meenakshi Institute of Technology Manipal,"NMAM Institute of Technology - [NMAMIT], Udupi",
135,Manipal Institute of Technology Manipal,"Manipal Institute of Technology - [MIT], Manipal",
136,REVA University Bangalore,"REVA University, Bangalore",
137,Sri Ramakrishna Institute of Technology Coimbatore,"Sri Ramakrishna Institute of Technology - [SRIT], Coimbatore",
138,Shiv Nadar University Chennai,"Shiv Nadar University, Chennai",
93,University of Petroleum and Energy Studies Dehradun,"UPES, Dehradun",
140,Graphic Era University Dehradun,"Graphic Era University - [GEU], Dehradun",
141,DIT University Dehradun,"DIT University - [DIT], Dehradun",
142,Bennett University Greater Noida,"Bennett University, Greater Noida",
143,GLA University Mathura,"GLA University, Mathura",
144,Harcourt Butler Technical University Kanpur,"Harcourt Butler Technological University - [HBTU], Kanpur",
145,University Institute of Engineering and Technology Chandigarh University Chandigarh,"University Institute of Engineering, Chandigarh University - [UIE], Mohali",
146,Birla Institute of Technology Mesra,"Birla Institute of Technology - [BIT Mesra], Ranchi",
147,Tezpur University Tezpur,"Tezpur University - [TU], Tezpur",
148,Assam Engineering College Guwahati,"Assam Engineering College - [AEC], Guwahati",
